1,20,0.965
2,33,0.348
3,43,0.641
4,4,0.986
5,50,0.859
6,9,0.653
7,50,0.673
8,3,0.958
9,3,0.974
10,3,0.904
11,3,0.765
12,3,0.868
13,10,0.679
14,17,0.922
15,5,0.507
16,10,0.907
17,10,0.761
18,7,0.514
19,7,0.783
20,7,0.738
21,7,0.827
22,27,0.920
23,45,0.847
24,46,0.772
25,46,0.825
26,46,0.750
27,45,0.869
28,15,0.924
29,8,0.704
30,43,0.530
31,23,0.551
32,17,0.605
33,19,0.531
34,5,0.493
35,19,0.682
36,20,0.347
37,19,0.821
38,2,0.977
39,30,0.535
40,33,0.678
41,38,0.948
42,20,0.911
43,38,0.744
44,38,0.669
45,40,0.638
46,8,0.458
47,20,0.440
48,48,0.756
49,19,0.815
50,15,0.768
51,43,0.638
52,8,0.287
53,50,0.643
54,44,0.605
55,8,0.360
56,9,0.775
57,44,0.653
58,30,0.919
59,5,0.592
60,50,0.647
61,43,0.733
62,30,0.620
63,30,0.747
64,19,0.727
65,15,0.881
66,33,0.975
67,34,0.789
68,29,0.577
69,34,0.400
70,23,0.565
71,23,0.652
72,35,0.853
73,16,0.612
74,35,0.829
75,35,0.874
76,14,0.786
77,14,0.520
78,44,0.382
79,34,0.685
80,22,0.463
81,22,0.447
82,23,0.487
83,36,0.485
84,14,0.869
85,22,0.699
86,25,0.685
87,23,0.714
88,23,0.337
89,36,0.530
90,22,0.728
91,22,0.795
92,22,0.590
93,22,0.737
94,22,0.789
95,22,0.420
96,25,0.492
97,36,0.700
98,36,0.694
99,35,0.737
100,4,0.633
101,14,0.634
102,16,0.940
103,14,0.936
104,5,0.729
105,41,0.455
106,17,0.438
107,26,0.470
108,26,0.515
109,26,0.450
110,26,0.459
111,37,0.787
112,26,0.756
113,6,0.950
114,26,0.220
115,26,0.625
116,12,0.589
117,12,0.987
118,39,0.749
119,26,0.389
120,39,0.934
121,17,0.585
122,17,0.636
123,17,0.662
124,39,0.418
125,21,0.636
126,39,0.750
127,42,0.716
128,42,0.694
129,42,0.708
130,18,0.538
131,42,0.633
132,1,0.894
133,1,0.636
134,1,0.794
135,39,0.444
136,1,0.828
137,1,0.770
138,18,0.495
139,28,0.657
140,12,0.407
141,6,0.639
142,1,0.567
143,1,0.873
144,1,0.766
145,41,0.893
146,40,0.591
147,24,0.655
148,24,0.964
149,24,0.746
150,24,0.879
151,5,0.783
152,25,0.948
153,43,0.702
154,4,0.978
155,50,0.855
156,9,0.671
157,50,0.694
158,3,0.937
159,3,0.983
160,3,0.885
161,3,0.740
162,3,0.868
163,10,0.681
164,17,0.916
165,5,0.502
166,10,0.921
167,10,0.751
168,7,0.520
169,7,0.778
170,7,0.738
171,7,0.820
172,27,0.924
173,45,0.840
174,46,0.793
175,46,0.831
176,46,0.753
177,45,0.871
178,15,0.947
179,8,0.687
180,43,0.518
181,23,0.531
182,17,0.610
183,19,0.544
184,5,0.479
185,19,0.678
186,20,0.316
187,19,0.817
188,2,0.991
189,30,0.442
190,33,0.667
191,38,0.955
192,20,0.894
193,38,0.813
194,38,0.669
195,40,0.610
196,8,0.455
197,20,0.455
198,48,0.761
199,19,0.792
200,15,0.759
201,43,0.638
202,8,0.295
203,50,0.631
204,44,0.626
205,8,0.360
206,9,0.789
207,44,0.648
208,30,0.915
209,5,0.610
210,50,0.639
211,43,0.717
212,30,0.625
213,30,0.730
214,19,0.760
215,15,0.920
216,33,0.978
217,32,0.438
218,13,0.662
219,32,0.635
220,49,0.309
221,48,0.573
222,32,0.500
223,13,0.400
224,47,0.554
225,47,0.273
226,36,0.400
227,47,0.239
228,43,0.272
229,47,0.367
230,49,0.497
231,8,0.601
232,11,0.749
233,11,0.827
234,41,0.672
235,32,0.547
236,32,0.454
237,32,0.412
238,47,0.321
239,32,0.321
240,13,0.311
241,32,0.343
242,13,0.277
243,13,0.277
244,48,0.459
245,13,0.656
246,47,0.450
247,49,0.408
248,41,0.505
249,13,0.392
250,13,0.566
251,47,0.467
252,13,0.471
253,34,0.827
254,29,0.575
255,34,0.378
256,23,0.551
257,23,0.659
258,35,0.856
259,16,0.619
260,35,0.796
261,35,0.870
262,14,0.795
263,14,0.520
264,44,0.344
265,34,0.646
266,22,0.418
267,22,0.440
268,23,0.494
269,36,0.483
270,14,0.883
271,22,0.685
272,25,0.674
273,23,0.724
274,23,0.317
275,36,0.539
276,22,0.728
277,22,0.764
278,22,0.620
279,22,0.708
280,22,0.801
281,22,0.420
282,25,0.492
283,36,0.716
284,36,0.722
285,35,0.802
286,4,0.660
287,14,0.609
288,16,0.937
289,14,0.926
290,5,0.682
291,41,0.438
292,17,0.446
293,26,0.453
294,26,0.517
295,26,0.443
296,26,0.463
297,37,0.788
298,26,0.731
299,6,0.959
300,6,0.254
301,26,0.614
302,12,0.589
303,12,0.987
304,39,0.759
305,26,0.323
306,39,0.948
307,17,0.577
308,17,0.648
309,17,0.692
310,39,0.440
311,21,0.634
312,39,0.735
313,42,0.750
314,42,0.716
315,42,0.740
316,18,0.537
317,42,0.625
318,1,0.885
319,1,0.605
320,1,0.798
321,39,0.405
322,1,0.813
323,1,0.784
324,18,0.498
325,28,0.655
326,12,0.399
327,6,0.646
328,1,0.573
329,1,0.854
330,1,0.779
331,41,0.889
332,40,0.630
333,24,0.650
334,24,0.974
335,24,0.762
336,24,0.868
337,5,0.783
338,25,0.961
339,43,0.652
340,4,0.981
341,50,0.841
342,9,0.688
343,50,0.612
344,3,0.948
345,3,0.974
346,3,0.876
347,3,0.751
348,3,0.875
349,10,0.702
350,17,0.925
351,5,0.507
352,10,0.924
353,10,0.787
354,7,0.515
355,7,0.788
356,7,0.757
357,7,0.837
358,27,0.912
359,45,0.860
360,46,0.821
361,40,0.319
362,45,0.392
363,46,0.820
364,45,0.397
365,45,0.363
366,46,0.758
367,45,0.380
368,45,0.356
369,45,0.328
370,45,0.375
371,45,0.465
372,45,0.333
373,45,0.439
374,45,0.366
375,45,0.401
376,45,0.375
377,46,0.528
378,45,0.437
379,45,0.516
380,46,0.458
381,45,0.403
382,45,0.322
383,45,0.342
384,45,0.376
385,45,0.389
386,45,0.433
387,45,0.342
388,45,0.530
389,45,0.500
390,45,0.618
391,45,0.527
392,45,0.373
393,40,0.309
394,46,0.360
395,45,0.280
396,45,0.850
397,40,0.282
398,15,0.940
399,8,0.691
400,43,0.543
401,23,0.537
402,17,0.625
403,19,0.524
404,5,0.479
405,19,0.678
406,20,0.347
407,19,0.811
408,2,0.987
409,30,0.442
410,33,0.702
411,38,0.967
412,20,0.920
413,38,0.788
414,38,0.656
